State,Avg. 10K,Avg. 20K,Avg. 25K,Avg. 30K,Avg. 35K,Avg. 40K,Avg. 5K,Avg. Half,Avg. Official
GU,68.05,143.22,185.65,236.63,294.17,350.07,32.97,151.82,372.48
MA,58.337886319,119.953291457,152.125561662,188.984181746,226.972906378,264.065516786,28.967536692,126.792249835,279.980577303
NH,55.422110266,114.088761905,144.799596929,179.624334601,215.954524715,251.106145038,27.409258555,120.647395437,266.689733840
RI,54.402532189,111.467167382,141.980858369,174.836781116,210.053648069,244.948283262,27.053017241,117.724935622,259.751630901
MS,52.158666667,106.538666667,132.608444444,164.995434783,196.661521739,227.979565217,25.837333333,112.054347826,241.503695652
CT,51.893013436,105.845259117,134.152399232,164.458502879,196.901170825,229.107581574,25.823071017,111.750076923,242.985009597
HI,51.239387755,104.245306122,129.821458333,160.587551020,191.081224490,221.894285714,25.583673469,110.040816327,235.543265306
FL,51.437156208,104.929,132.837322624,163.3882,195.55388,227.711481976,25.531028037,110.825033378,241.8892
AL,50.984380952,104.301428571,132.223142857,162.585238095,194.781057692,227.430571429,25.326476190,110.226666667,241.302571429
SC,50.893956044,103.557967033,130.950934066,160.129560440,191.346538462,222.747912088,25.308021978,109.352032967,236.456868132
ME,51.0174,104.36296,131.997188755,162.8282,195.16016,227.5712,25.29104,110.1844,241.50832
WV,49.438571429,99.073928571,124.908035714,153.10375,183.065714286,213.487678571,25.228928571,104.545892857,226.597678571
VT,50.645845070,102.920492958,129.531843972,159.302957746,189.756126761,219.367588652,25.211267606,108.635915493,234.039366197
TN,50.638803089,103.304054054,130.308565891,159.705736434,191.407953668,222.183346154,25.166718147,109.068482490,236.506130268
PR,50.533529412,103.221176471,131.104117647,160.764117647,193.548235294,227.077647059,25.097647059,108.930588235,241.310588235
LA,50.806282051,102.201428571,129.313506494,158.351558442,191.459743590,219.888441558,25.089743590,109.501666667,236.307435897
NJ,50.381581722,102.498594025,129.126660777,158.825616197,189.818221831,220.921405975,25.064507042,108.229103691,234.308734622
CA,50.207449375,102.447929402,129.442365127,158.897631126,189.672759363,220.423473775,24.986475657,108.200120638,233.792648323
GA,50.132398190,102.148031674,129.424104308,158.828190045,190.041670429,220.751990950,24.942579186,107.870859729,234.531851016
AZ,50.028144654,102.026698113,128.896813880,158.469182390,189.332830189,220.608616352,24.871635220,107.751766562,234.150503145
KS,49.874405594,101.091818182,127.018521127,156.167552448,186.540839161,216.032112676,24.850209790,106.475915493,230.531048951
AR,50.22125,102.594791667,129.976041667,159.505416667,190.095625,221.426458333,24.844375,108.388958333,235.160833333
DE,49.861587302,101.753809524,128.513650794,156.927460317,187.210317460,218.377301587,24.816825397,107.449365079,231.922539683
MO,49.909803922,101.580862745,127.843557312,157.245411765,187.453515625,217.508274510,24.808588235,107.251333333,231.51078125
NC,49.652038835,100.766763754,127.502771475,156.203284790,186.532766990,217.465436893,24.752443366,106.400161812,230.842637540
ID,49.744516129,101.193145161,127.895725806,156.226290323,186.436290323,217.326612903,24.727661290,106.713739837,230.609435484
TX,49.650695565,100.817749748,127.287856421,155.931806256,185.988476287,216.196135217,24.699183468,106.552512614,229.507197581
MI,49.593438849,100.728604317,126.685947902,155.570707071,186.047979798,216.404552023,24.676733813,106.329438040,230.185669065
AK,49.5752,100.4842,125.284081633,155.0104,184.0782,213.1586,24.667,106.014,225.9704
OK,49.500108696,100.519130435,127.155869565,155.593369565,185.698369565,216.083369565,24.666521739,106.119673913,229.271413043
MD,49.528783270,100.840418251,127.397490494,156.169563567,186.026463878,216.181005693,24.611787072,106.481927481,229.297001898
UT,49.566558140,101.536380510,128.541554524,157.226883721,187.226102088,217.504222738,24.603062645,107.222668213,230.684315545
NY,49.327482292,100.292677419,126.517825243,155.349664948,185.489780928,215.853023856,24.543820876,105.923559432,228.811081777
NM,49.183943662,99.546478873,125.726760563,153.53,182.348873239,211.128873239,24.527746479,105.095211268,223.742957746
VA,49.179452247,99.693160112,125.772855134,153.899521800,183.852092697,213.936896067,24.522398317,105.229115169,226.869144460
WI,49.193379630,99.860854503,126.028935185,154.438337182,184.092424942,214.256004619,24.504295612,105.381832947,227.243348730
NE,49.125045045,99.236036036,125.118378378,152.272272727,181.968378378,211.777567568,24.500090090,104.723063063,224.940090090
WA,49.281109244,100.341478992,126.883238255,155.340470588,185.385838926,215.508976510,24.464966443,105.926476510,228.455251678
OH,49.062263158,99.674105263,125.640264201,154.051383399,183.826890646,214.086657895,24.397578947,105.227259552,227.181815789
IN,48.900689655,99.232680412,125.437800687,153.654707904,183.799484536,214.467457045,24.371890034,104.770034364,227.506597938
WY,48.908636364,100.417272727,127.511818182,156.229090909,187.416818182,219.115454545,24.368181818,106.096818182,232.900454545
OR,48.854827586,99.085073892,125.127733990,152.881724138,182.025098522,211.600788177,24.350147783,104.623753086,224.361551724
NV,48.700681818,98.775909091,123.796206897,152.680795455,181.567613636,210.818068182,24.28125,104.275909091,223.371136364
DC,48.678146341,99.047156863,125.461463415,153.535170732,182.659951220,211.900585366,24.212097561,104.637107843,224.487707317
MN,48.573147482,98.467014388,124.366294964,152.033363309,181.356618705,211.489460432,24.195899281,103.969097473,224.620017986
PA,48.50913,98.483256743,124.22247,151.941328671,181.073526474,210.704625375,24.17613,103.95068,223.606673327
CO,48.458559028,98.128420139,123.829149306,151.199602076,179.899965398,208.912664360,24.171597222,103.544496528,221.456262976
IL,48.585071038,98.801115974,124.885815991,152.997836066,182.838830601,212.739574236,24.144201313,104.325564074,225.628187773
IA,48.519019608,98.948888889,125.196143791,153.074705882,182.577434211,212.463725490,24.130392157,104.491045752,225.339084967
KY,47.881666667,96.984722222,122.665277778,150.044722222,179.452569444,209.850416667,23.866041667,102.397708333,223.076527778
SD,47.58625,96.0246875,121.34625,148.05625,176.5128125,204.75375,23.82125,101.4146875,216.79125
MT,47.636923077,96.611538462,121.977230769,148.863076923,177.660615385,207.872307692,23.769076923,101.993846154,220.753076923
AP,47.77,97.72,123.7,151.4,179.95,207.17,23.75,103.32,219.02
ND,47.651612903,96.382580645,121.34,147.674193548,175.274516129,203.378709677,23.748064516,101.676774194,215.381290323
AE,46.907142857,95.982857143,121.504285714,148.538571429,177.245714286,204.838571429,23.282857143,101.388571429,217.068571429
AA,45.07,89.57,111.97,134.9,158.48,181.97,22.62,94.47,192.95
