Date,Name,Location,Run Types
4/24/2016,2016 Gettysburg North-South Marathon & 10 Miler,"Gettysburg, PA","10 mi, marathon"
4/24/2016,Big Sur Int. Marathon,"Carmel, CA",marathon
4/24/2016,BuffaloRunners.com 6 Hour Distance Classic,"Amherst, NY","5.2177 km, marathon"
4/24/2016,Oklahoma City Memorial Marathon,"Oklahoma City, OK","1.2 mi fun run, 5 km fun run, half-marathon, half-marathon, marathon, marathon"
4/29-30/16,Christie Clinic Illinois Marathon,"Champaign, IL","5 km, 10 km, half-marathon, marathon relay, marathon"
5/1/2016,Avenue of the Giants Marathon,"Arcata, CA","10 km, half-marathon, marathon"
5/1/2016,Lincoln Marathon/Half-Marathon,"Lincoln, NE","half-marathon, marathon"
5/7/2016,Wisconsin Marathon & Half Marathon,"Kenosha, WI","5 km, half-marathon, marathon"
5/12-15/16,3 Days at the Fair,"Augusta, NJ","1 mi, marathon, marathon, marathon, marathon, 50 km, 50 km, 50 km, 50 km"
5/13-14/16,"Brookings Marathon, Half Marathon, Relay, 5K","Brookings, SD","5 km, half-marathon, marathon, marathon relay"
5/21/2016,Blackfoot Marathon and More,"Blackfoot, ID","5 km, 10 km, half-marathon, marathon"
5/21/2016,Ogden Marathon,"Ogden, UT","5 km, half-marathon, marathon"
5/22/2016,Cellcom Green Bay Marathon,"Green Bay, WI",marathon
5/28/2016,Pacific Northwest Marathon,"Eugene, OR","5 km, 21.09798 km, marathon"
5/28-29/16,Med City Marathon Weekend,"Rochester, MN","5 km fun run, 20 mi, half-marathon, marathon relay, marathon"
5/29/2016,People's United Bank Vermont City Marathon & Relays,"Burlington, VT",marathon
6/4/2016,God's Country Marathon,"Galeton, PA","half-marathon, marathon, marathon relay"
6/12/2016,Light at the End of the Tunnel Marathon,"North Bend, WA",marathon
6/18/2016,Grandma's Marathon - Garry Bjorklund Half Marathon,"Duluth, MN","half-marathon, marathon, marathon"
6/18/2016,The Great Run,"Cranberry Isles, ME","6 hr relay, 6 hr, marathon"
6/24-26/16,Bay of Fundy International Marathon,"Lubec, ME","1 mi fun run, 10 km, half-marathon, marathon"
6/25/2016,Run4Troops,"Dubuque, IA","marathon relay, marathon"
6/25-26/16,Running with the Devil,"Las Vegas, NV","5 km, 5 km, 10 km, 10 km, half-marathon, half-marathon, marathon, 50 mi, 50 km, 100 mi"
7/16/2016,Aspen Valley Marathon,"Aspen, CO","5 km fun run, half-marathon, marathon"
7/31/2016,Bearfest Marathon,"Wrangell, AK","21.097 km, marathon"
7/31/2016,Jack and Jill Downhill Marathon and Half Marathon,"North Bend, WA",marathon
8/20-21/16,"Extraterrestrial Full Moon Midnight 51K, Marathon, 1/2, 10K and 5K","Rachel, NV","5 km, 10 km, half-marathon, marathon, 51 km"
9/4/2016,Kauai Marathon and Half Marathon,"Koloa, HI","half-marathon, marathon"
9/17-18/16,"Maui Marathon, Half Marathon and Associated Runs","Lahaina, HI","1 mi, 5 km, half-marathon, marathon"
9/18/2016,DICK'S Greater Binghamton Marathon,"Vestal, NY","1 km fun run, 5 km race walk, half-marathon, marathon, marathon relay"
9/18/2016,"Rochester Marathon, Half Marathon & Relay","Rochester, NY","half-marathon, marathon"
9/18/2016,Tunnel Light Marathon,"North Bend, WA",marathon
9/23-25/16,Adirondack Marathon Distance Festival,"Schroon Lake, NY","1 km fun run, 5 km, 10 km, half-marathon, marathon, marathon relay"
9/24/2016,Platte Valley Companies Monument Marathon,"Scottsbluff, NE","half-marathon, marathon"
9/24-25/16,Quad Cities Marathon,"Moline, IL","5 km, half-marathon, marathon"
9/25/2016,Bellingham Bay Marathon,"Bellingham, WA","5 km fun run, 10 km fun run, half-marathon walk, half-marathon, marathon walk, marathon"
10/2-10/16*,Boulder Backroads Marathon,"Boulder, CO","10 km, half-marathon, marathon"
10/9/2016,Bank of America Chicago Marathon,"Chicago, IL",marathon
10/9/2016,City Of Trees Marathon,"Boise, ID","half-marathon, marathon"
10/9/2016,Medtronic Twin Cities Marathon,"Saint Paul, MN",marathon
10/9/2016,Mohawk Hudson River Marathon & Half Marathon,"Schenectady, NY","half-marathon, marathon"
10/15/2016,Des Plaines River Trail Marathon,"Vernon Hills, IL",marathon
10/16/2016,"Mount Desert Island Marathon, Half, Team Relay","Bar Harbor, ME","1 mi fun run, half-marathon, marathon walk, marathon, marathon relay"
10/22/2016,M2M - Marathon 2 Marathon,"Marathon, TX","5 km, 10 km, half-marathon, marathon"
10/29-30/16,"Cape Cod Marathon(26.2), Relay and Half(13.1)","Falmouth, MA","half-marathon, marathon"
10/30/2016,Tri-Cities Marathon,"Richland, WA",marathon
11/11-12/16,"Novant Health Charlotte Marathon, LLC","Charlotte, NC","1 mi fun run, 5 km, half-marathon, marathon, marathon relay"
11/19/2016,White River Marathon For Kenya,"Cotter, AR","5 km, half-marathon, marathon"
